id,sent0,label
0, hoo mammokka police vesham aaha anthas,1
1, Oru rekshayum illa...kidilam kannu nananjupoyi,1
2, Ikka     waiting.........,1
3, Raju Ettante Oro Shorttum Ijathi ppwli,1
4, Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #,1
5, Waiting to see mammukaas undaa 🤣,0
6, Last aa chadi adi.... Uff.        Frm an ettan fan,1
7, 1 day achu 5 million views kooda varla,3
8, heavy mass,1
9, I a m a katta mammookka fan,3
10, Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.,4
11, Nte ponno oru raksha Illa Ennaaa Trailer,1
12, Mammookka fans like adi. Love u ikka,1
13, Dislike adikan keri like adichath njaan mathramaano?,3
14, Enada Oru English comment kuda kanom,3
15, Oh mass o mass laletta katta waiting....Bgm,1
16, Ith powlichu vaariyitte pooku....,1
17, 7.3k dislike adichavanmaarod onne parayanollu......  OMKV,2
18, Malayali friends lalettan padam epdi irukku,0
19, June 16 Keralakara ilakki marikkum ikka,1
20, Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun,3
21, Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni,4
22, Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa,1
23, vaada a otta vili athu mathi .athu maathram mathi,1
24, Mammooka fan - kannadiga from Dubai,0
25, Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like,3
26, #mamangam uff ijjathi trailer oru rakshem illa poli,1
27, Nalla polippan school life kanam katta waiting for you Mammukka,1
28, Trailer kande oru pidium illatha aralum,3
29, Feeling sad am studying in punjab ivde release aakuvo,2
30, Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??,3
31, Tamilnadu thala fans sarpakka movie hit panna valthukal,0
32, Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree,3
33, Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne,4
34, Thirunavayile arenkilum undo  Trailer like cheyan marakanda,3
35, INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer,1
36, movie kandathinu shesham onum kudi trailer kanan vanaver like,3
37, Mammoka fans and laletan fans Katta waiting,3
38, Eee eid ikka ang edutthu ennu paranjekk,1
39, Ahaa hahaha ha.... Nte ponnikkka mutheeee,1
40, Fan show set...arokke fan showkk pokunnu und,3
41, Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....,1
42, Ithin dislike addikunavar lokka tholvikallayirkkum,1
43, Visit on link Vov yar so sad made me crying so sad omng  very sad must watch Osmmmosmmmmmmmmmmmmmmmmmmmmm,0
44, Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum,3
45, FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi,1
46, Feel good movie 2019 le best movie aavum ithu urappu,1
47, 1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,2
48, Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan,3
49, 2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa,1
50, Eante ponnooo romanjam vannu poeonnum parayanilla,1
51, Eth oru onnonnara padam aavum enn urappullavar like adi,1
52, Surajettan kunjunni mash ayi abhinayichal powlikku.m,1
53, Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta,1
54, Raaza..u Do,3
55, Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.,1
56, Lalettan fans full support und makkaleee......,1
57, Keralathinu purathu ninnulla anyaphashakar adi like,3
58, All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..,3
59, Adhikam hype venda,2
60, Ithu kidukkum,1
61, am a lalettan fan... but lalettane arum pokendaa... director prithviannuu,3
62, 4.3k dislikes what a bullshit man's,0
